Pays,BienEtre,LogPIB,EspVie,Generosite,Gini
Senegal,4.683025,7.811985,57.98088,PeuG,0.4366945
Serbia,5.122031,9.561538,65.68488,PeuG,0.3661298
Sierra Leone,4.089562,7.253018,44.38653,G,0.5835861
Singapore,6.378438,11.317050,75.81240,G,0.5649096
Slovakia,6.365509,10.313942,68.77391,PeuG,0.2925881
Slovenia,6.166838,10.353517,70.94329,PeuG,1.3592441
South Africa,4.513655,9.405203,55.22931,PeuG,0.5650375
South Korea,5.873887,10.489735,74.04169,G,0.3936122
Spain,6.230173,10.445223,74.49821,PeuG,0.3789496
Sri Lanka,4.330945,9.377954,65.29253,G,0.4272970
Sweden,7.286805,10.770406,73.00655,G,0.3468561
Switzerland,7.473593,10.955548,73.17376,G,0.2958178
Tajikistan,5.829234,7.956590,62.97125,G,0.3679543
Tanzania,3.347121,7.896314,56.66549,G,0.5493752
Thailand,5.938895,9.688437,66.41879,G,0.5133578
Togo,4.360805,7.251670,52.25727,PeuG,0.5521893
Trinidad and Tobago,6.191860,10.323865,61.73831,PeuG,-0.4154654
Tunisia,4.124343,9.294289,65.88056,PeuG,0.4145143
Turkey,5.607262,10.119373,65.79473,PeuG,0.3268976
Turkmenistan,5.229149,9.702641,60.39269,G,0.2657766
Uganda,4.000517,7.442951,51.76348,G,0.6406370
Ukraine,4.311067,8.967859,63.17335,G,0.4211459
United Arab Emirates,7.039420,11.121808,68.58155,G,0.6006837
United Kingdom,7.103273,10.584576,72.05613,G,0.3722318
United States,6.991759,10.899869,69.77092,G,0.6108044
Uruguay,6.336010,9.917771,68.38036,PeuG,0.3999039
Uzbekistan,6.421448,8.762778,63.16618,G,0.4459862
Zambia,3.932777,8.211670,53.80378,G,0.6127992
Zimbabwe,3.638300,7.538187,52.67448,PeuG,0.5814838
