Title;IMDbRating;Runtime;Year;Types;NumberVotes
War and Peace;6.8;208;1956;drama;  5392
I.Q.;6.2;100;1994;comedy; 17055
Nobody s Fool;7.4;110;1994;comedy; 12727
Funny Games;7.6;108;1997;crime; 32244
Serpico;7.8;130;1973;biography; 56485
Five Easy Pieces;7.5; 98;1970;drama; 20163
The Godfather;9.2;175;1972;crime;809811
The Godfather: Part II;9.1;200;1974;crime;532686
The Godfather: Part III;7.6;162;1990;crime;188279
To Kill a Mockingbird;8.4;129;1962;crime;152794
Once Upon a Time in America;8.4;229;1984;crime;157390
Cool Hand Luke;8.2;126;1967;crime; 89534
Scent of a Woman;7.9;157;1992;drama;149692
North by Northwest;8.5;136;1959;action;164106
Deliverance;7.8;110;1972;adventure; 63474
Falling Down;7.6;113;1993;crime;109893
Dog Day Afternoon;8.1;125;1975;crime;135962
Happiness;7.8;134;1998;comedy; 46451
